# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       7.278620108523e-03       4.317001981324e-01      -5.078892713555e+02      -5.081847489218e+02       4.347181161450e-01      -4.106962287515e-01      -5.079660546418e+02       3.448198716387e-01       3.448198717236e-01 
       7.387946775368e-03       4.300152928916e-01      -5.212122731800e+02      -5.215234014589e+02       4.330214316355e-01      -1.683865933662e-01      -5.212977062117e+02       3.434740895408e-01       3.434740898630e-01 
       7.497341584446e-03       4.283354805437e-01      -5.346582557465e+02      -5.349856390202e+02       4.313298754173e-01       3.493755768889e-01      -5.347527939152e+02       3.421323430591e-01       3.421323434859e-01 
       7.606802248869e-03       4.266607463740e-01      -5.482250771273e+02      -5.485693345439e+02       4.296434328659e-01       8.948658930402e-01      -5.483291990646e+02       3.407946499934e-01       3.407946503476e-01 
       7.716326618374e-03       4.249911662945e-01      -5.619107219321e+02      -5.622724945238e+02       4.279621805883e-01       1.209186627490e+00      -5.620249358189e+02       3.394610967247e-01       3.394610968688e-01 
       7.825912670749e-03       4.233266934259e-01      -5.757130225463e+02      -5.760929681012e+02       4.262860714352e-01       1.145254458517e+00      -5.758378573315e+02       3.381316559028e-01       3.381316558015e-01 
       7.935558503913e-03       4.216674087069e-01      -5.896299745556e+02      -5.900287702878e+02       4.246151868475e-01       7.365657315035e-01      -5.897659748436e+02       3.368063836838e-01       3.368063834169e-01 
       8.045262328602e-03       4.200133743824e-01      -6.036595614890e+02      -6.040778987781e+02       4.229495893532e-01       1.798254841336e-01      -6.038072765208e+02       3.354853076119e-01       3.354853073327e-01 
       8.155022461594e-03       4.183646254824e-01      -6.177997443659e+02      -6.182383327679e+02       4.212893140604e-01      -2.600314737906e-01      -6.179597286401e+02       3.341684307099e-01       3.341684305711e-01 
       8.264837319447e-03       4.167211180516e-01      -6.320483966421e+02      -6.325079667392e+02       4.196343166075e-01      -3.764877956417e-01      -6.322212147028e+02       3.328557025333e-01       3.328557026152e-01 
       8.374705412693e-03       4.150830006828e-01      -6.464037378729e+02      -6.468850251531e+02       4.179847466362e-01      -1.189247149343e-01      -6.465899569433e+02       3.315472423550e-01       3.315472426311e-01 
       8.484625340461e-03       4.134501615248e-01      -6.608636222341e+02      -6.613673833026e+02       4.163404916214e-01       3.849068959976e-01      -6.610638331831e+02       3.302429763634e-01       3.302429767167e-01 
       8.594595785482e-03       4.118227483046e-01      -6.754263617459e+02      -6.759533501534e+02       4.147017004775e-01       8.917306906972e-01      -6.756411632818e+02       3.289430448042e-01       3.289430450854e-01 
       8.704615509463e-03       4.102005874767e-01      -6.900897420001e+02      -6.906407385847e+02       4.130681985710e-01       1.160063810673e+00      -6.903197662869e+02       3.276473278418e-01       3.276473279407e-01 
